物理站址名,归属,CI,子网ID,5G基站号-网元号,eNodeBID,SectorID-Eutran小区ID,CELLName,CellID-小区号,PCI,TAC,band,UplinkCenterCarrierFrequency,DownlinkCenterCarrierFrequency,下行信道带宽,网元名,经度,纬度,跟序列,方位角,业务IP地址,场景,站型,覆盖类型,,,
南阳祥北,大丰区,865671_21,320934,14594852,865671,21,YC_DF_ZX_南阳祥北_FL9_B_1,21,295,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_南阳祥北_FL9,120.534161,33.106661,7,120,,,宏站,1,,,
南阳祥北,大丰区,865671_31,320934,14594852,865671,31,YC_DF_ZX_南阳祥北_FL9_C_1,31,296,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_南阳祥北_FL9,120.534161,33.106661,14,240,,,宏站,1,,,
跃中村部,射阳县,865761_11,320938,14595862,865761,11,YC_SY_ZX_跃中村部_FL9_A_1,11,273,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_跃中村部_FL9,120.243,33.6479,21,0,,,宏站,1,,,
跃中村部,射阳县,865761_21,320938,14595862,865761,21,YC_SY_ZX_跃中村部_FL9_B_1,21,274,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_跃中村部_FL9,120.243,33.6479,49,120,,,宏站,1,,,
跃中村部,射阳县,865761_31,320938,14595862,865761,31,YC_SY_ZX_跃中村部_FL9_C_1,31,275,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_跃中村部_FL9,120.243,33.6479,56,240,,,宏站,1,,,
新坍二,射阳县,865956_31,320938,14595869,865956,31,YC_SY_ZX_新坍二_FL9_C_1,31,89,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_新坍二_FL9,120.113956,33.639134,14,240,,,宏站,1,,,
新坍二,射阳县,865956_21,320938,14595869,865956,21,YC_SY_ZX_新坍二_FL9_B_1,21,88,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_新坍二_FL9,120.113956,33.639134,7,120,,,宏站,1,,,
新坍二,射阳县,865956_11,320938,14595869,865956,11,YC_SY_ZX_新坍二_FL9_A_1,11,87,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_新坍二_FL9,120.113956,33.639134,0,0,,,宏站,1,,,
西厦安置小区,射阳县,866073_11,320938,14595872,866073,11,YC_SY_ZX_射阳西厦安置小区_FL9_A_1,11,360,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳西厦安置小区_FL9,120.122092,33.535407,0,0,,,宏站,1,,,
西厦安置小区,射阳县,866073_21,320938,14595872,866073,21,YC_SY_ZX_射阳西厦安置小区_FL9_B_1,21,361,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳西厦安置小区_FL9,120.122092,33.535407,7,120,,,宏站,1,,,
西厦安置小区,射阳县,866073_31,320938,14595872,866073,31,YC_SY_ZX_射阳西厦安置小区_FL9_C_1,31,362,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳西厦安置小区_FL9,120.122092,33.535407,14,240,,,宏站,1,,,
东辉利民大桥,射阳县,865792_41,320938,14595870,865792,41,YC_SY_ZX_东辉利民大桥_FL9_A_1,41,96,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_塘南村_FL9,120.282091,33.621931,0,0,,,宏站,1,,,
东辉利民大桥,射阳县,865792_51,320938,14595870,865792,51,YC_SY_ZX_东辉利民大桥_FL9_B_1,51,97,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_塘南村_FL9,120.282091,33.621931,7,120,,,宏站,1,,,
东辉利民大桥,射阳县,865792_61,320938,14595870,865792,61,YC_SY_ZX_东辉利民大桥_FL9_C_1,61,98,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_塘南村_FL9,120.282091,33.621931,14,240,,,宏站,1,,,
